number,value,datetime_start,datetime_complete,duration,params_discount_factor,params_epsilon_decay_episodes,params_learning_rate,params_num_bins,params_reward_shaping_scale,state
0,43.48,2026-02-06 15:25:05.178881,2026-02-06 15:25:06.540851,0 days 00:00:01.361970,0.9576449133816793,799,0.10614422733489338,14,0.23817143353837988,COMPLETE
1,45.1,2026-02-06 15:25:06.540851,2026-02-06 15:25:07.792080,0 days 00:00:01.251229,0.9846955563120062,801,0.05587873967732661,15,0.023940066920367868,COMPLETE
2,20.8,2026-02-06 15:25:07.792080,2026-02-06 15:25:08.768397,0 days 00:00:00.976317,0.9589094233931479,412,0.024734433688034563,15,0.24277836451887863,COMPLETE
3,50.86,2026-02-06 15:25:08.769398,2026-02-06 15:25:10.334999,0 days 00:00:01.565601,0.9642702278697041,632,0.06218303726628978,12,0.08301813831028905,COMPLETE
4,35.02,2026-02-06 15:25:10.335641,2026-02-06 15:25:11.674354,0 days 00:00:01.338713,0.9723474292266348,566,0.16072616578614726,10,0.04347852655649004,COMPLETE
5,106.9,2026-02-06 15:25:11.674354,2026-02-06 15:25:13.997524,0 days 00:00:02.323170,0.9522760702232799,793,0.20059047112039313,12,0.05792170771800634,COMPLETE
6,70.46,2026-02-06 15:25:13.998618,2026-02-06 15:25:15.726314,0 days 00:00:01.727696,0.9973159696206534,1149,0.1597353159373308,8,0.05092578968494997,COMPLETE
7,26.46,2026-02-06 15:25:15.726314,2026-02-06 15:25:18.635501,0 days 00:00:02.909187,0.9715674721932405,884,0.20593139006678607,8,0.08310730460160895,COMPLETE
8,35.22,2026-02-06 15:25:18.636501,2026-02-06 15:25:19.866859,0 days 00:00:01.230358,0.9626802190984008,1110,0.04806879401429913,8,0.12884245842670483,COMPLETE
9,37.36,2026-02-06 15:25:19.867860,2026-02-06 15:25:21.094024,0 days 00:00:01.226164,0.9590578683207508,747,0.17238012540141584,12,0.08481065826145862,COMPLETE
10,152.74,2026-02-06 15:25:21.094024,2026-02-06 15:25:23.808987,0 days 00:00:02.714963,0.9507111598771225,217,0.24419491548888378,10,0.17797000238118332,COMPLETE
11,94.42,2026-02-06 15:25:23.810444,2026-02-06 15:25:26.445951,0 days 00:00:02.635507,0.9501826045648026,285,0.2351105364599978,10,0.18435638479022168,COMPLETE
12,90.22,2026-02-06 15:25:26.446959,2026-02-06 15:25:29.150050,0 days 00:00:02.703091,0.9508328229335993,251,0.24900515621458377,10,0.15818907351832506,COMPLETE
13,61.28,2026-02-06 15:25:29.151052,2026-02-06 15:25:30.996923,0 days 00:00:01.845871,0.9816469655944587,984,0.21207291517672155,13,0.1836886300759731,COMPLETE
14,63.12,2026-02-06 15:25:30.997939,2026-02-06 15:25:32.402326,0 days 00:00:01.404387,0.9507351360896591,502,0.20203794641748898,11,0.13666693432720767,COMPLETE
15,35.0,2026-02-06 15:25:32.403326,2026-02-06 15:25:33.621366,0 days 00:00:01.218040,0.9655281301298695,420,0.11726098198389218,12,0.2002341063778787,COMPLETE
16,144.84,2026-02-06 15:25:33.622366,2026-02-06 15:25:36.448080,0 days 00:00:02.825714,0.9550671705739994,938,0.22598104299497876,9,0.11006190599860013,COMPLETE
17,106.5,2026-02-06 15:25:36.449080,2026-02-06 15:25:39.488988,0 days 00:00:03.039908,0.9682896588180584,976,0.2259456781196964,9,0.11124114807076986,COMPLETE
18,137.18,2026-02-06 15:25:39.489988,2026-02-06 15:25:42.766906,0 days 00:00:03.276918,0.9784206786189721,990,0.24976893887202353,9,0.15633557217434887,COMPLETE
19,58.38,2026-02-06 15:25:42.767916,2026-02-06 15:25:44.444558,0 days 00:00:01.676642,0.989914916305327,211,0.18492290738269562,9,0.21359989180614228,COMPLETE
20,43.26,2026-02-06 15:25:44.445558,2026-02-06 15:25:46.305498,0 days 00:00:01.859940,0.9572688288395547,664,0.14360317521729088,11,0.11055592340914687,COMPLETE
21,131.42,2026-02-06 15:25:46.306499,2026-02-06 15:25:49.323744,0 days 00:00:03.017245,0.9782705095205942,1041,0.24301950961938348,9,0.1480794884883537,COMPLETE
22,76.76,2026-02-06 15:25:49.323744,2026-02-06 15:25:52.187477,0 days 00:00:02.863733,0.9803914075847663,946,0.2249739691107193,9,0.16215377571234732,COMPLETE
23,95.46,2026-02-06 15:25:52.188474,2026-02-06 15:25:54.852891,0 days 00:00:02.664417,0.9764003044097633,1198,0.2457758997998649,11,0.17494027170105428,COMPLETE
24,112.02,2026-02-06 15:25:54.853891,2026-02-06 15:25:58.917530,0 days 00:00:04.063639,0.9548130302305657,872,0.2236074395186788,10,0.1226293793573346,COMPLETE
25,66.44,2026-02-06 15:25:58.918549,2026-02-06 15:26:01.404005,0 days 00:00:02.485456,0.9869940049223839,1070,0.18878643831279363,9,0.21004623959899915,COMPLETE
26,119.36,2026-02-06 15:26:01.405553,2026-02-06 15:26:06.612591,0 days 00:00:05.207038,0.992062247408145,874,0.22068445426148298,8,0.10697722880341745,COMPLETE
27,189.78,2026-02-06 15:26:06.613589,2026-02-06 15:26:11.259781,0 days 00:00:04.646192,0.9677988863257974,1022,0.2479911575886029,11,0.1482865270418747,COMPLETE
28,103.38,2026-02-06 15:26:11.260781,2026-02-06 15:26:15.343971,0 days 00:00:04.083190,0.9548967612562878,358,0.1865345847345549,13,0.14244506681536007,COMPLETE
29,16.64,2026-02-06 15:26:15.345042,2026-02-06 15:26:16.531620,0 days 00:00:01.186578,0.9618291538192993,554,0.09331079707911606,16,0.21785933420915005,COMPLETE
30,44.34,2026-02-06 15:26:16.532615,2026-02-06 15:26:18.419692,0 days 00:00:01.887077,0.9677623041527469,724,0.1181042171176568,11,0.09758988080468194,COMPLETE
31,102.36,2026-02-06 15:26:18.420692,2026-02-06 15:26:22.583474,0 days 00:00:04.162782,0.9738857918737964,1032,0.23668011500779987,10,0.16596035251284408,COMPLETE
32,123.82,2026-02-06 15:26:22.584474,2026-02-06 15:26:26.291520,0 days 00:00:03.707046,0.9539251544199994,919,0.24993428694218722,10,0.19342463288635559,COMPLETE
33,201.68,2026-02-06 15:26:26.291520,2026-02-06 15:26:29.698534,0 days 00:00:03.407014,0.9694963270075716,818,0.2302507502017935,11,0.15078282862718537,COMPLETE
34,72.66,2026-02-06 15:26:29.699531,2026-02-06 15:26:32.091678,0 days 00:00:02.392147,0.9604192097574704,817,0.21552151570800024,13,0.23564157092058352,COMPLETE
35,109.98,2026-02-06 15:26:32.092684,2026-02-06 15:26:35.571424,0 days 00:00:03.478740,0.9693280384477093,830,0.23055331867248335,11,0.12795077003123423,COMPLETE
36,29.0,2026-02-06 15:26:35.572424,2026-02-06 15:26:37.034310,0 days 00:00:01.461886,0.9644981284319796,768,0.19842604041547374,11,0.017589197283446087,COMPLETE
37,79.48,2026-02-06 15:26:37.035314,2026-02-06 15:26:41.237426,0 days 00:00:04.202112,0.9588550801234094,663,0.23386484525857798,10,0.17565865796746857,COMPLETE
38,23.98,2026-02-06 15:26:41.237426,2026-02-06 15:26:42.688169,0 days 00:00:01.450743,0.9567614193217072,588,0.08616762414405399,12,0.06616419107020703,COMPLETE
39,28.34,2026-02-06 15:26:42.689440,2026-02-06 15:26:44.589817,0 days 00:00:01.900377,0.9714795333802173,1129,0.02006028583008404,14,0.14673650626319543,COMPLETE
40,54.08,2026-02-06 15:26:44.590903,2026-02-06 15:26:47.605674,0 days 00:00:03.014771,0.9668513954493048,924,0.21236575731854843,11,0.03410899356621083,COMPLETE
41,172.78,2026-02-06 15:26:47.606679,2026-02-06 15:26:51.047626,0 days 00:00:03.440947,0.9758541689249906,1000,0.23632715877073995,9,0.16049594734353312,COMPLETE
42,86.44,2026-02-06 15:26:51.049016,2026-02-06 15:26:54.912439,0 days 00:00:03.863423,0.9740510390503434,1067,0.23866177526716587,8,0.1214447672945709,COMPLETE
43,69.32,2026-02-06 15:26:54.913440,2026-02-06 15:26:56.846802,0 days 00:00:01.933362,0.9701257398000435,1013,0.16437603481051347,10,0.172220982678101,COMPLETE
44,29.94,2026-02-06 15:26:56.848167,2026-02-06 15:26:58.429497,0 days 00:00:01.581330,0.9625607346999673,1098,0.19629014319833496,9,0.15268469418749098,COMPLETE
45,76.46,2026-02-06 15:26:58.429497,2026-02-06 15:27:02.755742,0 days 00:00:04.326245,0.9767158049849004,877,0.20760374150222588,10,0.19190187204307296,COMPLETE
46,129.98,2026-02-06 15:27:02.755742,2026-02-06 15:27:08.111344,0 days 00:00:05.355602,0.9837365823379404,949,0.23152629092273092,12,0.09750511736359908,COMPLETE
47,49.62,2026-02-06 15:27:08.112343,2026-02-06 15:27:11.740601,0 days 00:00:03.628258,0.953145583279773,1164,0.2209009593641677,8,0.13449278971341805,COMPLETE
48,19.58,2026-02-06 15:27:11.740601,2026-02-06 15:27:13.160385,0 days 00:00:01.419784,0.9989158957221341,829,0.14475637493988958,9,0.14017446960316976,COMPLETE
49,60.28,2026-02-06 15:27:13.161385,2026-02-06 15:27:15.866215,0 days 00:00:02.704830,0.9660192350275052,788,0.17443933072782636,10,0.0672807346752261,COMPLETE
50,27.98,2026-02-06 15:27:15.867300,2026-02-06 15:27:17.493487,0 days 00:00:01.626187,0.9561560844198097,419,0.24053743823354168,11,0.18398478156546685,COMPLETE
51,112.36,2026-02-06 15:27:17.494481,2026-02-06 15:27:20.657703,0 days 00:00:03.163222,0.977976992465744,983,0.24623397481386203,9,0.15679072845307504,COMPLETE
52,33.44,2026-02-06 15:27:20.658703,2026-02-06 15:27:22.735944,0 days 00:00:02.077241,0.9811102416501588,1001,0.037918839033727086,8,0.1618612954485237,COMPLETE
53,112.46,2026-02-06 15:27:22.737218,2026-02-06 15:27:26.046580,0 days 00:00:03.309362,0.9723467970099468,904,0.23145771411062577,9,0.15089497227397655,COMPLETE
54,90.14,2026-02-06 15:27:26.047582,2026-02-06 15:27:31.126838,0 days 00:00:05.079256,0.9758743564260163,960,0.24118766480308718,10,0.1734649323295432,COMPLETE
55,84.28,2026-02-06 15:27:31.128061,2026-02-06 15:27:34.382004,0 days 00:00:03.253943,0.9792978899692953,1063,0.21676594845492772,9,0.12004994423148456,COMPLETE
56,163.08,2026-02-06 15:27:34.383004,2026-02-06 15:27:40.210310,0 days 00:00:05.827306,0.9839444050195044,474,0.24973566192786328,8,0.1315138484054342,COMPLETE
57,91.38,2026-02-06 15:27:40.211310,2026-02-06 15:27:44.164900,0 days 00:00:03.953590,0.9858913124627912,286,0.207540260452096,8,0.13041506499602815,COMPLETE
58,137.64,2026-02-06 15:27:44.165908,2026-02-06 15:27:48.130557,0 days 00:00:03.964649,0.9518156739889942,295,0.22442762324039267,8,0.0956606871162423,COMPLETE
59,128.06,2026-02-06 15:27:48.131557,2026-02-06 15:27:52.510611,0 days 00:00:04.379054,0.9829931040605772,480,0.24980225140300685,10,0.11458035757139856,COMPLETE
